Date,Open,High,Low,Close,Adj Close,Volume
2008-05-29,161.043304,169.095474,152.991135,168.076157,82.836510,4003084
2008-05-30,168.076157,168.076157,168.076157,168.076157,82.836510,0
2008-06-02,160.751022,166.048508,159.289658,165.500488,81.567108,1867285
2008-06-03,165.865829,169.519272,165.865829,169.519272,83.547760,1984435
2008-06-04,176.939392,176.939392,176.939392,176.939392,87.204765,730272
2008-06-05,176.939392,180.844910,174.634079,174.816742,86.158600,4015401
2008-06-06,174.816742,176.497314,171.345978,176.460785,86.968895,2144832
2008-06-09,176.460785,178.652847,167.710815,169.336594,83.457718,2356414
2008-06-10,161.116379,168.057892,161.116379,168.057892,82.827507,6624728
2008-06-11,164.404465,167.144531,158.595505,160.221283,78.965210,5704224
2008-06-12,160.842361,168.229599,160.842361,168.229599,82.912117,8539366
2008-06-13,162.943085,163.089218,159.472321,161.481720,79.586433,4931800
2008-06-16,161.481720,163.312088,153.407623,153.407623,75.607117,6883389
2008-06-17,153.407623,156.366913,146.502640,156.184235,76.975563,7003550
2008-06-18,156.184235,157.828278,153.444168,154.726517,76.257126,5423940
2008-06-19,154.726517,154.901886,146.992203,150.978088,74.409714,5080701
2008-06-20,150.978088,156.001572,143.430099,146.904526,72.402054,6243443
2008-06-23,146.904526,149.056396,140.657150,141.022491,69.503090,6507578
2008-06-24,147.598679,155.124741,147.598679,155.124741,76.453369,4201802
2008-06-25,155.380478,160.111679,155.380478,160.111679,78.911217,7062947
2008-06-26,157.097595,158.120560,155.526627,155.526627,76.651443,3027016
2008-06-27,153.973907,154.898224,153.973907,154.898224,76.341751,242785
2008-06-30,152.435822,152.435822,152.435822,152.435822,75.128143,278368
2008-07-01,152.435822,157.864822,150.912338,156.655533,77.207870,8397582
2008-07-02,156.655533,157.992691,155.091858,155.091858,76.437195,3527367
2008-07-03,155.091858,155.380478,153.542801,153.542801,75.673744,1178891
2008-07-07,150.488541,150.488541,150.488541,150.488541,74.168442,179283
2008-07-08,148.986969,148.986969,148.986969,148.986969,73.428383,144247
2008-07-09,148.986969,153.407623,147.500031,151.471313,74.652794,8486539
2008-07-10,151.471313,152.786545,149.958786,149.958786,73.907356,1750956
2008-07-11,148.460876,148.460876,148.460876,148.460876,73.169106,140415
2008-07-14,141.314774,148.311096,141.314774,148.311096,73.095284,4365483
2008-07-15,142.118530,149.224442,140.657150,145.402954,71.662018,7246062
2008-07-16,145.402954,148.146683,138.136276,138.136276,68.080612,3410491
2008-07-17,138.136276,140.291809,131.541840,139.195770,68.602768,4298697
2008-07-18,139.195770,146.133652,139.195770,141.022491,69.503090,5406970
2008-07-21,141.022491,148.073624,141.018845,148.073624,72.978233,3790955
2008-07-22,148.073624,155.475479,147.598679,155.475479,76.626251,7970312
2008-07-23,155.475479,160.747375,154.174850,154.357513,76.075279,12518638
2008-07-24,149.096573,154.174850,149.096573,154.174850,75.985237,4240395
2008-07-25,151.288635,153.809509,143.945236,147.974976,72.929619,7518135
2008-07-28,140.576767,146.867981,140.576767,146.867981,72.384048,2257055
